time,open,high,low,close,HH,HL,LH,LL,9,23,50,200,Cross Up,Cross Down,MA,Pivot High,Pivot Low,Mid,Upper,Lower,Volume,Volume MA,WT,Signal line,in/out mFlow,Stoch RSI K%,Stoch RSI D%,RSI,RSI MA,Midline,End Neutral Zone,Begin Neutral Zone,Bull Floor,Bear Ceiling
1768446000,2311.25,2333.6,2276.15,2331.9,,,,,,,2300.3667147802157,2045.5571662322807,0,0,2302.0429188625135,,,,,,14119,12316.55,10.296286590843893,27.825168870691673,-27.29823961903527,30.386516795573822,47.420908601971725,49.40506651790918,55.567462021666536,50,70,30,,
1768460400,2331.87,2361.6,2324.35,2350.7,,,,,,,2302.34056910256,2048.593413334447,0,0,2303.989202108013,,,,,,10605,12147.55,6.474805225380521,13.35503834064435,-21.493701374858958,17.381952649594346,31.308325056584426,51.88876132336856,55.40146215241013,50,70,30,,
1768474800,2350.81,2387.3,2323.05,2376.95,,,,,,,2305.2664291377537,2051.8606430525124,0,0,2306.9076340236925,,,,,,16843,12489.35,13.544592804823388,10.105228207015925,-14.149921411232896,35.92723738840036,27.898568944522825,55.19599001456771,55.800688671161616,50,70,30,,
1768489200,2376.35,2429.9,2352.8,2425.2,,,,,,,2309.969706426469,2055.575462524627,0,0,2311.639328662745,,,,,,15376,12828.8,30.754455811279588,16.924617947161153,-11.598117995575436,59.95610254857218,37.755097528855615,60.56236748543812,56.14236684068912,50,70,30,,
1768503600,2425.25,2434.9,2387.49,2406.1,,,2434.9,,,,2313.7395218607253,2059.0632688676656,0,0,2315.417755516235,,,,,,6153,12445.2,35.902124362960365,26.733724326354434,-7.037658978744531,72.31650787938285,56.06661593878511,57.62024875988505,56.03357382610109,50,70,30,,
1768518000,2401.39,2413.55,2339.5,2345,,,,,,,2314.965422964226,2061.9084104709723,0,0,2316.6010452955857,,,,,,13735,12403.5,20.06870840823259,28.908429527490835,-7.152015361535362,59.608371521472556,63.96032731647585,49.35948021416155,55.514706131037805,50,70,30,,
1768532400,2345.15,2363.35,2314,2338.8,,,,,,,2315.9001122597465,2064.663550665291,0,0,2317.489003483762,,,,,,10395,12584,6.854242934820046,20.941691902004322,-7.5049851556804015,33.753851950257946,55.22624378370443,48.59810312177363,55.206260389830405,50,70,30,,
1768546800,2340.95,2364.45,2325.55,2327.75,,,,,,,2316.3648137397563,2067.2813262805616,0,0,2317.899443344412,,,,,,7434,12271.8,-5.3546379110084,7.189437810681401,-3.0493540433347732,11.18157582031448,34.84793309734831,47.20066490284515,54.14139043552968,50,70,30,,
1768561200,2327.7,2344.15,2289.05,2302.9,,,,,,,2315.836781828393,2069.6257906956803,0,0,2317.2994656106353,,,,,,15133,12476.1,-19.040340792912883,-5.846911923033759,-9.727948021460165,5.344427439418761,16.759951736663712,44.127595553915874,53.098435233249084,50,70,30,,
1768575600,2304.3,2324.55,2260.95,2302.25,,2260.95,,,,,2315.303966854731,2071.940459444977,0,0,2316.6974869862097,,,,,,18546,12981.9,-27.549590714581406,-17.314856472834247,-15.040431285239336,1.1856705575418254,5.903891272425009,44.046814336267985,52.00058253656083,50,70,30,,
1768590000,2301.55,2329.1,2294.65,2328.9,,,,,,,2315.8371446251335,2074.497270793783,0,0,2317.1855875067613,,,,,,6927,12570.05,-26.111142154933507,-24.23369122080928,-11.073619768580556,8.607266796206622,5.04578826438907,48.23124514182441,51.381995926306935,50,70,30,,
1768777200,2339.37,2375.9,2336.8,2354.05,,,,,,,2317.3356879731673,2077.278889989865,0,0,2318.660164006491,,,,,,14158,12367,-16.20443853173621,-23.28839046708372,-9.920864063726995,24.645164262108068,11.479367205285504,51.88795771200551,50.96572248881697,50,70,30,,
1768791600,2354.1,2360.45,2340.2,2354.15,,,,,,,2318.7793864840237,2080.0338264078764,0,0,2320.0797574462313,,,,,,6538,12270.05,-8.39512919118194,-16.9035699592839,-12.907681127641368,40.712462298302626,24.65496445220577,51.90250534225558,50.47919733675115,50,70,30,,
1768806000,2354.3,2374.1,2340.75,2360.5,,,,,,,2320.415488974846,2082.824534602823,0,0,2321.696567148382,,,,,,5693,11996.15,0.021920382600381316,-8.192549113439272,-8.858509581225192,50.13925300927786,38.49895985656285,52.87689083165624,50.92169223270532,50,70,30,,
1768820400,2360.6,2383.3,2348.7,2377,,,,,,,2322.634489407205,2085.751653661501,0,0,2323.908704462447,,,,,,6642,11670.7,11.862571342454437,1.1631208446242773,-4.051462194171464,57.217074918481096,49.35626340868719,55.40496474140487,51.35025639152644,50,70,30,,
1768834800,2376.9,2383.45,2356.5,2370.85,,,,,,,2324.5252937441774,2088.588453127556,0,0,2325.7863562839493,,,,,,6501,11532.55,17.60604168988334,9.830177804979371,-1.5322525421257325,61.91736507755986,56.424564335106275,54.23700628868056,51.51798817476301,50,70,30,,
1768849200,2371,2372.05,2368.1,2370.5,,,,,,,2326.3282234012686,2091.3935431461873,0,0,2327.574902032591,,,,,,524,10858.4,21.35560639977681,16.941406477371515,-4.754046296649406,64.50996782944982,61.21480260849692,54.1670234918762,51.44449056599934,50,70,30,,
